k,d,Weights,precision None,recall None,f-score None,precision,recall,f-score
5,2,distance,0.8181818181818182,0.9,0.8571428571428572,,,
1,1,uniform,,,,0.970894874022589,0.776311219173324,0.8627678054429647
1,1,distance,,,,0.970894874022589,0.776311219173324,0.8627678054429647
1,2,uniform,,,,0.969750109601052,0.7683223341437999,0.8573643410852713
1,2,distance,,,,0.969750109601052,0.7683223341437999,0.8573643410852713
3,1,uniform,,,,0.974025974025974,0.8075720736366794,0.8830231674895557
3,1,distance,,,,0.973739940703092,0.7985411601250434,0.8774809160305344
3,2,uniform,,,,0.9742845292409787,0.8159083014935742,0.8880907372400757
3,2,distance,,,,0.9735959765297568,0.8068773879819382,0.8824311490978157
5,1,uniform,,,,0.975071516142215,0.8287599861062869,0.8959819752159219
5,1,distance,,,,0.9742951907131012,0.8162556443209448,0.8883008883008883
5,2,uniform,,,,0.9749089437474706,0.8367488711358111,0.9005607476635515
5,2,distance,,,,0.9742647058823528,0.8284126432789163,0.8954383330204617
3,1,,,,,0.9899524061343205,0.6502257728377909,0.7849056603773584
3,2,,,,,0.9899524061343205,0.6502257728377909,0.7849056603773584
6,1,,,,,0.9863142991977348,0.7259465092045849,0.8363345338135254
6,2,,,,,0.9863207547169812,0.7262938520319555,0.8365673134626924
9,1,,,,,0.9804651162790696,0.732198680097256,0.8383376416782661
9,2,,,,,0.9824236817761332,0.7377561653351858,0.8426899424717318
3,1,,,,,0.9856184084372004,0.714136853073984,0.828197381671702
3,2,,,,,0.9856184084372004,0.714136853073984,0.828197381671702
6,1,,,,,0.9855838539163864,0.712400138937131,0.827016129032258
6,2,,,,,0.9864143619602136,0.7061479680444599,0.823076923076923
9,1,,,,,0.983801810385898,0.7172629385203195,0.8296504620329449
9,2,,,,,0.9833164812942368,0.6755817992358458,0.8009059089973235
1,1,uniform,,,,0.9705882352941176,0.7794373046196597,0.8645732999422078
1,1,distance,,,,0.9705882352941176,0.7794373046196597,0.8645732999422078
1,2,uniform,,,,0.9725250763192324,0.774574505036471,0.8623356535189481
1,2,distance,,,,0.9725250763192324,0.774574505036471,0.8623356535189481
3,1,uniform,,,,0.9775467775467775,0.8166029871483154,0.8898561695685087
3,1,distance,,,,0.9765395894428152,0.8096561306009031,0.8853019369540448
3,2,uniform,,,,0.9761021837659662,0.8228551580409864,0.89295137580098
3,2,distance,,,,0.976279650436954,0.8148662730114623,0.8882998864066642
5,1,uniform,,,,0.9768668831168832,0.8360541854810698,0.9009919520868426
5,1,distance,,,,0.977039770397704,0.8277179576241751,0.8962015795411808
5,2,uniform,,,,0.9768480909829408,0.8353594998263286,0.9005804156524995
5,2,distance,,,,0.9771054783319706,0.8301493574157693,0.8976525821596245
