k,d,Weights,precision None,recall None,f-score_macro,f1_score_micro,f1_score_weighted
1,1,uniform,0.9333333333333332,1.0,0.9492900608519268,0.9565217391304348,0.9559925919393244
1,1,distance,0.9333333333333332,1.0,0.9492900608519268,0.9565217391304348,0.9559925919393244
1,2,uniform,0.9333333333333332,1.0,0.9492900608519268,0.9565217391304348,0.9559925919393244
1,2,distance,0.9333333333333332,1.0,0.9492900608519268,0.9565217391304348,0.9559925919393244
3,1,uniform,0.9333333333333332,1.0,0.9492900608519268,0.9565217391304348,0.9559925919393244
3,1,distance,0.9333333333333332,1.0,0.9492900608519268,0.9565217391304348,0.9559925919393244
3,2,uniform,0.9032258064516128,1.0,0.9217763376537056,0.9347826086956522,0.9330839004724956
3,2,distance,0.9032258064516128,1.0,0.9217763376537056,0.9347826086956522,0.9330839004724956
5,1,uniform,0.9285714285714286,0.9285714285714286,0.9039510541058527,0.9130434782608696,0.9141203392111994
5,1,distance,0.9655172413793104,1.0,0.9745442036463708,0.9782608695652174,0.97781217750258
5,2,uniform,0.9629629629629628,0.9285714285714286,0.9288770053475937,0.9347826086956522,0.935724250174378
5,2,distance,0.9655172413793104,1.0,0.9745442036463708,0.9782608695652174,0.97781217750258
1,1,uniform,0.9333333333333332,1.0,0.9492900608519268,0.9565217391304348,0.9559925919393244
1,1,distance,0.9333333333333332,1.0,0.9492900608519268,0.9565217391304348,0.9559925919393244
1,2,uniform,0.9333333333333332,1.0,0.9492900608519268,0.9565217391304348,0.9559925919393244
1,2,distance,0.9333333333333332,1.0,0.9492900608519268,0.9565217391304348,0.9559925919393244
3,1,uniform,0.9333333333333332,1.0,0.9492900608519268,0.9565217391304348,0.9559925919393244
3,1,distance,0.9333333333333332,1.0,0.9492900608519268,0.9565217391304348,0.9559925919393244
3,2,uniform,0.9032258064516128,1.0,0.9217763376537056,0.9347826086956522,0.9330839004724956
3,2,distance,0.9032258064516128,1.0,0.9217763376537056,0.9347826086956522,0.9330839004724956
5,1,uniform,0.9285714285714286,0.9285714285714286,0.9039510541058527,0.9130434782608696,0.9141203392111994
5,1,distance,0.9655172413793104,1.0,0.9745442036463708,0.9782608695652174,0.97781217750258
5,2,uniform,0.9629629629629628,0.9285714285714286,0.9288770053475937,0.9347826086956522,0.935724250174378
5,2,distance,0.9655172413793104,1.0,0.9745442036463707,0.9782608695652174,0.97781217750258
